Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Lim Chu Kang,2024,3,1,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Lim Chu Kang,2024,3,2,    12.4,    11.8,    11.8,    12.4,-,-,-,-,-
Lim Chu Kang,2024,3,3,    30.6,     9.4,     9.4,    12.2,-,-,-,-,-
Lim Chu Kang,2024,3,4,    14.8,    11.0,    11.2,    12.2,-,-,-,-,-
Lim Chu Kang,2024,3,5,    18.4,     5.8,     7.0,     7.4,-,-,-,-,-
Lim Chu Kang,2024,3,6,    35.6,    19.4,    32.2,    35.2,-,-,-,-,-
Lim Chu Kang,2024,3,7,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Lim Chu Kang,2024,3,8,     0.8,     0.6,     0.6,     0.8,-,-,-,-,-
Lim Chu Kang,2024,3,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,10,     7.4,     3.2,     4.6,     7.2,-,-,-,-,-
Lim Chu Kang,2024,3,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,19,    11.4,     4.0,     6.4,     9.8,-,-,-,-,-
Lim Chu Kang,2024,3,20,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Lim Chu Kang,2024,3,21,     0.4,     0.2,     0.4,     0.4,-,-,-,-,-
Lim Chu Kang,2024,3,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,24,     1.4,     1.4,     1.4,     1.4,-,-,-,-,-
Lim Chu Kang,2024,3,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,3,30,    13.4,    13.4,    13.4,    13.4,-,-,-,-,-
Lim Chu Kang,2024,3,31,    11.0,     8.8,     8.8,     8.8,-,-,-,-,-
