station,year,month,day,daily_rainfall_total_mm,highest_30_min_rainfall_mm,highest_60_min_rainfall_mm,highest_120_min_rainfall_mm,mean_temperature_c,maximum_temperature_c,minimum_temperature_c,mean_wind_speed_km_h,max_wind_speed_km_h
Paya Lebar,2024,1,1,21.6,9.2,13.2,14.6,25.9,28.8,24.5,6.5,24.1
Paya Lebar,2024,1,2,0,0,0,0,27.8,32.6,24.2,7,31.5
Paya Lebar,2024,1,3,1.6,1.6,1.6,1.6,27.7,32.6,25.5,7.1,29.6
Paya Lebar,2024,1,4,63.8,13.8,19.8,26.6,25,26.9,23.7,7.2,25.9
Paya Lebar,2024,1,5,4.4,1.6,3,3.2,26.8,30.8,24.5,8.4,35.2
Paya Lebar,2024,1,6,3,3,3,3,28.1,33.1,24.9,7.6,27.8
Paya Lebar,2024,1,7,59.8,15.4,17.4,21.8,24.6,27.3,23.5,4.9,18.5
Paya Lebar,2024,1,8,0,0,0,0,27.2,32.5,22.9,8.5,31.5
Paya Lebar,2024,1,9,2,0.6,0.8,1.2,27.3,30.9,24.9,7.3,29.6
Paya Lebar,2024,1,10,56.4,15.4,24.4,30.4,26.5,29.4,24.5,6.4,42.6
Paya Lebar,2024,1,11,5,4.4,4.4,4.6,27.5,30.4,25.2,7.8,29.6
Paya Lebar,2024,1,12,10.8,4,4.6,5.6,25.4,27.8,23.6,6.1,35.2
Paya Lebar,2024,1,13,2.6,2.6,2.6,2.6,27.1,32.3,23.9,6.1,25.9
Paya Lebar,2024,1,14,0,0,0,0,28.2,32.1,25.9,8.3,31.5
Paya Lebar,2024,1,15,0,0,0,0,28.7,32.8,26.2,9.6,37
Paya Lebar,2024,1,16,20.2,9.2,12,17.2,27.2,31.6,23.8,7.9,35.2
Paya Lebar,2024,1,17,10,3.8,5,6,27.6,32.2,24.7,11.8,42.6
Paya Lebar,2024,1,18,3.6,3,3,3,27.4,31.1,25.7,7.9,35.2
Paya Lebar,2024,1,19,12.2,4.4,6.8,8,26.6,31.6,24.2,5.9,42.6
Paya Lebar,2024,1,20,16.8,2.6,4.6,6.6,24.7,26.4,23.3,5.7,24.1
Paya Lebar,2024,1,21,11.8,9.2,9.6,11.6,26.9,33.2,22.9,6.3,35.2
Paya Lebar,2024,1,22,0,0,0,0.2,28,32.2,24.6,7.7,22.2
Paya Lebar,2024,1,23,24.4,20.6,24,24.4,27.3,33.6,24.2,7.1,24.1
Paya Lebar,2024,1,24,91,30,37.6,37.6,26.8,31.2,24.2,8.3,31.5
Paya Lebar,2024,1,25,22.2,16,19,19.8,25.8,31.2,24.1,6.9,27.8
Paya Lebar,2024,1,26,0.2,0.2,0.2,0.2,28.3,32.5,25.3,12.9,38.9
Paya Lebar,2024,1,27,0,0,0,0,28.7,32.6,26.1,12.9,42.6
Paya Lebar,2024,1,28,2.6,1.2,1.2,2.2,28.2,32.5,25.9,12.2,38.9
Paya Lebar,2024,1,29,0,0,0,0,28.4,32.7,26,12.2,40.7
