Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sentosa Island,2024,10,1,0.4,0.4,0.4,0.4,28.2,31,25.8,-,-
Sentosa Island,2024,10,2,0,0,0,0,29.1,32.1,27.4,-,-
Sentosa Island,2024,10,3,0,0,0,0,28.9,32.2,26.6,-,-
Sentosa Island,2024,10,4,5.6,4.4,4.4,4.4,27.8,30.8,26.1,-,-
Sentosa Island,2024,10,5,0.2,0.2,0.2,0.2,28,30.8,25.7,-,-
Sentosa Island,2024,10,6,66.5,30.5,40,41,27.5,30.5,23.4,-,-
Sentosa Island,2024,10,7,0,0,0,0,28.4,31.9,26.3,-,-
Sentosa Island,2024,10,8,2.6,2,2.2,2.2,27.9,30.5,23.5,-,-
Sentosa Island,2024,10,9,4.4,4.4,4.4,4.4,27.9,31.5,24.7,-,-
Sentosa Island,2024,10,10,0,0,0,0,28.4,32.1,26.6,-,-
Sentosa Island,2024,10,11,0,0,0,0,29.2,32.5,26.7,-,-
Sentosa Island,2024,10,12,0,0,0,0,27.7,30.3,26.5,-,-
Sentosa Island,2024,10,13,0,0,0,0,28.8,31.7,26.1,-,-
Sentosa Island,2024,10,14,90.4,28.4,41.4,49.8,26,29.1,23.4,-,-
Sentosa Island,2024,10,15,0.2,0.2,0.2,0.2,27.9,31.7,25.7,-,-
Sentosa Island,2024,10,16,1.6,1,1.6,1.6,28,30.6,24.5,-,-
Sentosa Island,2024,10,17,8.6,8.2,8.4,8.4,27.6,29.5,23.9,-,-
Sentosa Island,2024,10,18,0,0,0,0,28,30.2,25.5,-,-
Sentosa Island,2024,10,19,0,0,0,0,28.7,32.9,26.8,-,-
Sentosa Island,2024,10,20,24.2,11.8,17.2,20.2,27.4,30.9,23,-,-
Sentosa Island,2024,10,21,0,0,0,0,29.9,34.5,27.4,-,-
Sentosa Island,2024,10,22,0,0,0,0,29.8,33.1,27.8,-,-
Sentosa Island,2024,10,23,3.6,3.6,3.6,3.6,29.7,32.9,25.4,-,-
Sentosa Island,2024,10,24,0,0,0,0,29.6,32.6,27.2,-,-
Sentosa Island,2024,10,25,13.2,12.8,13,13.2,29.3,32.5,23.4,-,-
Sentosa Island,2024,10,26,0,0,0,0,30,33.1,27.9,-,-
Sentosa Island,2024,10,27,0,0,0,0,30.6,34.1,28.1,-,-
Sentosa Island,2024,10,28,0,0,0,0,30.1,33.8,28.7,-,-
Sentosa Island,2024,10,29,0,0,0,0,30.2,33.8,27.6,-,-
Sentosa Island,2024,10,30,0,0,0,0,30.1,33.3,28.4,-,-
Sentosa Island,2024,10,31,0,0,0,0,29.6,32.1,27.9,-,-
